"name","permalink_url","city","followers_count","followings_count","username"
"RoeShamBeaux","https://soundcloud.com/mikeysol","V I R G I N I A (703)/ Los Angeles",1770,421,"roeshambeaux"
"Anubis Black","https://soundcloud.com/itsanubisblack","South Central, Los Angeles",300,272,"anubisblack"
"OMAS","https://soundcloud.com/omasofficial","San Francisco/Los Angeles",1816,1054,"omasmusic"
"Lights Down Low","https://soundcloud.com/lightsdownlowca","San Francisco / Los Angeles",1388,474,"lights_down_low"
"substant","https://soundcloud.com/substant","san diego/los angeles",385,271,"sconrad.mp3"
"DJ BeenHad","https://soundcloud.com/djbeenhad","OC/Los Angeles, United States",543,241,"beenhadmusic"
"Euføeni","https://soundcloud.com/eufoeni","MV ✈ Los Angeles",1353,1282,"eufoeni"
"KAILI","https://soundcloud.com/kailidj","los angeles/worldwide",732,304,"carriekaili"
"Pure Mids","https://soundcloud.com/puremids","Los Angeles/West Covina",455,1188,"PureMids"
"Lights & Music Collective","https://soundcloud.com/lights3music","Los Angeles/Seattle",1262,796,"lights3music"
"cameragrammar","https://soundcloud.com/cameragrammar","los angeles/salt lake",2188,627,"cameragrammar"
"† LA SANTA DIABLA †","https://soundcloud.com/lasantadiabla","Los Angeles/Bay Area",295,754,"la.santadiabla"
"Niño","https://soundcloud.com/ninofrancois","Los Angeles. AV. SFV",804,1311,"mafiatropical"
"The Eclectic Beings","https://soundcloud.com/theeclecticbeings","Los Angeles,California",914,490,"eclecticbeings"
"SUR ELLZ","https://soundcloud.com/surellz","Los Angeles, via Denver",1348,496,"surellz"
"Geller","https://soundcloud.com/gellermusic","Los Angeles, United States",2051,532,"gellermusic"
"Rhys Langston","https://soundcloud.com/rhyslangston","Los Angeles, Langstónia, West Gash ",784,269,"rhyslangston"
"Orchestrated Sounds","https://soundcloud.com/orchestrated-sounds","Los Angeles, California ",491,222,"orchestrated.sounds"
"HYPEITUP","https://soundcloud.com/hypeitupmusic","Los Angeles, California",3125,510,"hypeitup_music"
